periods,Hidraulic Power,Thermal power,Start-up and-Shut down,Power shedding,Well Production,Gas shedding
1.0,0.002,0.042,0.001,-0.0,0.201,-0.0
2.0,0.001,0.046,-0.0,-0.0,0.165,-0.0
3.0,0.001,0.044,0.0,-0.0,0.157,-0.0
4.0,0.001,0.042,0.0,-0.0,0.133,-0.0
5.0,0.001,0.041,0.0,-0.0,0.163,-0.0
6.0,0.001,0.044,0.0,-0.0,0.178,-0.0
7.0,0.002,0.045,0.0,-0.0,0.183,-0.0
8.0,0.005,0.042,0.001,-0.0,0.172,-0.0
9.0,0.005,0.061,0.0,-0.0,0.204,-0.0
10.0,0.005,0.067,0.001,0.0,0.204,-0.0
11.0,0.005,0.07,0.0,0.072,0.204,-0.0
12.0,0.005,0.073,-0.0,0.0,0.204,-0.0
13.0,0.004,0.049,-0.0,-0.0,0.204,-0.0
14.0,0.004,0.041,-0.0,-0.0,0.204,-0.0
15.0,0.002,0.048,-0.0,-0.0,0.204,-0.0
16.0,0.003,0.043,-0.0,-0.0,0.204,-0.0
17.0,0.004,0.042,-0.0,-0.0,0.204,-0.0
18.0,0.005,0.045,-0.0,-0.0,0.204,-0.0
19.0,0.005,0.062,-0.0,-0.0,0.204,-0.0
20.0,0.005,0.062,-0.0,-0.0,0.204,-0.0
21.0,0.004,0.064,-0.0,-0.0,0.204,-0.0
22.0,0.003,0.059,-0.0,-0.0,0.204,-0.0
23.0,0.002,0.051,-0.0,-0.0,0.204,-0.0
24.0,0.003,0.033,0.0,-0.0,0.141,-0.0
